sample,comms_overhead_ns,comms_overhead_cycles
1,3560.0,178.00
2,3030.0,151.50
3,3030.0,151.50
4,3030.0,151.50
5,3030.0,151.50
6,3030.0,151.50
7,3030.0,151.50
8,3030.0,151.50
9,3030.0,151.50
10,3030.0,151.50
11,3030.0,151.50
12,3030.0,151.50
13,3030.0,151.50
14,3030.0,151.50
15,3030.0,151.50
16,3030.0,151.50
17,3030.0,151.50
18,3030.0,151.50
19,3030.0,151.50
20,3030.0,151.50
21,3030.0,151.50
22,3030.0,151.50
23,3030.0,151.50
24,3030.0,151.50
25,3030.0,151.50
26,3030.0,151.50
27,3030.0,151.50
28,3030.0,151.50
29,3030.0,151.50
30,3030.0,151.50
31,3030.0,151.50
32,3030.0,151.50
33,3030.0,151.50
34,3030.0,151.50
35,3030.0,151.50
36,3030.0,151.50
37,3030.0,151.50
38,3030.0,151.50
39,3030.0,151.50
40,3030.0,151.50
41,3030.0,151.50
42,3030.0,151.50
43,3030.0,151.50
44,3030.0,151.50
45,3030.0,151.50
46,3030.0,151.50
47,3030.0,151.50
48,3030.0,151.50
49,3030.0,151.50
50,3030.0,151.50
51,3030.0,151.50
52,3030.0,151.50
53,3030.0,151.50
54,3030.0,151.50
55,3030.0,151.50
56,3030.0,151.50
57,3030.0,151.50
58,3030.0,151.50
59,3030.0,151.50
60,3030.0,151.50
61,3030.0,151.50
62,3030.0,151.50
63,3030.0,151.50
64,3030.0,151.50
65,3030.0,151.50
66,3030.0,151.50
67,3030.0,151.50
68,3030.0,151.50
69,3030.0,151.50
70,3030.0,151.50
71,3030.0,151.50
72,3030.0,151.50
73,3030.0,151.50
74,3030.0,151.50
75,3030.0,151.50
76,3030.0,151.50
77,3030.0,151.50
78,3030.0,151.50
79,3030.0,151.50
80,3030.0,151.50
81,3030.0,151.50
82,3030.0,151.50
83,3030.0,151.50
84,3030.0,151.50
85,3030.0,151.50
86,3030.0,151.50
87,3030.0,151.50
88,3030.0,151.50
89,3030.0,151.50
90,3030.0,151.50
91,3030.0,151.50
92,3030.0,151.50
93,3030.0,151.50
94,3030.0,151.50
95,3030.0,151.50
96,3030.0,151.50
97,3030.0,151.50
98,3030.0,151.50
99,3030.0,151.50
100,3030.0,151.50
101,3030.0,151.50
102,3030.0,151.50
103,3030.0,151.50
104,3030.0,151.50
105,3030.0,151.50
106,3030.0,151.50
107,3030.0,151.50
108,3030.0,151.50
109,3030.0,151.50
110,3030.0,151.50
111,3030.0,151.50
112,3030.0,151.50
113,3030.0,151.50
114,3030.0,151.50
115,3030.0,151.50
116,3030.0,151.50
117,3030.0,151.50
118,3030.0,151.50
119,3030.0,151.50
120,3030.0,151.50
121,3030.0,151.50
122,3030.0,151.50
123,3030.0,151.50
124,3030.0,151.50
125,3030.0,151.50
126,3030.0,151.50
127,3030.0,151.50
128,3030.0,151.50
129,3030.0,151.50
130,3030.0,151.50
131,3030.0,151.50
132,3030.0,151.50
133,3030.0,151.50
134,3030.0,151.50
135,3030.0,151.50
136,3030.0,151.50
137,3030.0,151.50
138,3030.0,151.50
139,3030.0,151.50
140,3030.0,151.50
141,3030.0,151.50
142,3030.0,151.50
143,3030.0,151.50
144,3030.0,151.50
145,3030.0,151.50
146,3030.0,151.50
147,3030.0,151.50
148,3030.0,151.50
149,3030.0,151.50
150,3030.0,151.50
151,3030.0,151.50
152,3030.0,151.50
153,3030.0,151.50
154,3030.0,151.50
155,3030.0,151.50
156,3030.0,151.50
157,3030.0,151.50
158,3030.0,151.50
159,3030.0,151.50
160,3030.0,151.50
161,3030.0,151.50
162,3030.0,151.50
163,3030.0,151.50
164,3030.0,151.50
165,3030.0,151.50
166,3030.0,151.50
167,3030.0,151.50
168,3030.0,151.50
169,3030.0,151.50
170,3030.0,151.50
171,3030.0,151.50
172,3030.0,151.50
173,3030.0,151.50
174,3030.0,151.50
175,3030.0,151.50
176,3030.0,151.50
177,3030.0,151.50
178,3030.0,151.50
179,3030.0,151.50
180,3030.0,151.50
181,3030.0,151.50
182,3030.0,151.50
183,3030.0,151.50
184,3030.0,151.50
185,3030.0,151.50
186,3030.0,151.50
187,3030.0,151.50
188,3030.0,151.50
189,3030.0,151.50
190,3030.0,151.50
191,3030.0,151.50
192,3030.0,151.50
193,3030.0,151.50
194,3030.0,151.50
195,3030.0,151.50
196,3030.0,151.50
197,3030.0,151.50
198,3030.0,151.50
199,3030.0,151.50
200,3030.0,151.50
201,3030.0,151.50
202,3030.0,151.50
203,3030.0,151.50
204,3030.0,151.50
205,3030.0,151.50
206,3030.0,151.50
207,3030.0,151.50
208,3030.0,151.50
209,3030.0,151.50
210,3030.0,151.50
211,3030.0,151.50
212,3030.0,151.50
213,3030.0,151.50
214,3030.0,151.50
215,3030.0,151.50
216,3030.0,151.50
217,3030.0,151.50
218,3030.0,151.50
219,3030.0,151.50
220,3030.0,151.50
221,3030.0,151.50
222,3030.0,151.50
223,3030.0,151.50
224,3030.0,151.50
225,3030.0,151.50
226,3030.0,151.50
227,3030.0,151.50
228,3030.0,151.50
229,3030.0,151.50
230,3030.0,151.50
231,3030.0,151.50
232,3030.0,151.50
233,3030.0,151.50
234,3030.0,151.50
235,3030.0,151.50
236,3030.0,151.50
237,3030.0,151.50
238,3030.0,151.50
239,3040.0,152.00
240,3030.0,151.50
241,3030.0,151.50
242,3030.0,151.50
243,3030.0,151.50
244,3030.0,151.50
245,3030.0,151.50
246,3030.0,151.50
247,3030.0,151.50
248,3030.0,151.50
249,3030.0,151.50
250,3030.0,151.50
251,3030.0,151.50
252,3030.0,151.50
253,3030.0,151.50
254,3030.0,151.50
255,3030.0,151.50
256,3030.0,151.50
257,3030.0,151.50
258,3030.0,151.50
259,3030.0,151.50
260,3030.0,151.50
261,3030.0,151.50
262,3030.0,151.50
263,3030.0,151.50
264,3030.0,151.50
265,3030.0,151.50
266,3030.0,151.50
267,3030.0,151.50
268,3030.0,151.50
269,3030.0,151.50
270,3030.0,151.50
271,3030.0,151.50
272,3030.0,151.50
273,3030.0,151.50
274,3030.0,151.50
275,3030.0,151.50
276,3030.0,151.50
277,3030.0,151.50
278,3030.0,151.50
279,3030.0,151.50
280,3030.0,151.50
281,3030.0,151.50
282,3030.0,151.50
283,3030.0,151.50
284,3030.0,151.50
285,3030.0,151.50
286,3030.0,151.50
287,3030.0,151.50
288,3030.0,151.50
289,3030.0,151.50
290,3030.0,151.50
291,3030.0,151.50
292,3030.0,151.50
293,3030.0,151.50
294,3030.0,151.50
295,3030.0,151.50
296,3030.0,151.50
297,3030.0,151.50
298,3030.0,151.50
299,3030.0,151.50
300,3030.0,151.50
301,3030.0,151.50
302,3030.0,151.50
303,3030.0,151.50
304,3030.0,151.50
305,3030.0,151.50
306,3030.0,151.50
307,3030.0,151.50
308,3030.0,151.50
309,3030.0,151.50
310,3030.0,151.50
311,3030.0,151.50
312,3030.0,151.50
313,3030.0,151.50
314,3030.0,151.50
315,3030.0,151.50
316,3030.0,151.50
317,3030.0,151.50
318,3030.0,151.50
319,3030.0,151.50
320,3030.0,151.50
321,3030.0,151.50
322,3030.0,151.50
323,3030.0,151.50
324,3030.0,151.50
325,3030.0,151.50
326,3030.0,151.50
327,3030.0,151.50
328,3030.0,151.50
329,3030.0,151.50
330,3030.0,151.50
331,3030.0,151.50
332,3030.0,151.50
333,3030.0,151.50
334,3030.0,151.50
335,3030.0,151.50
336,3030.0,151.50
337,3030.0,151.50
338,3030.0,151.50
339,3030.0,151.50
340,3030.0,151.50
341,3030.0,151.50
342,3030.0,151.50
343,3030.0,151.50
344,3030.0,151.50
345,3030.0,151.50
346,3030.0,151.50
347,3030.0,151.50
348,3030.0,151.50
349,3030.0,151.50
350,3030.0,151.50
351,3030.0,151.50
352,3030.0,151.50
353,3030.0,151.50
354,3030.0,151.50
355,3030.0,151.50
356,3030.0,151.50
357,3030.0,151.50
358,3030.0,151.50
359,3030.0,151.50
360,3030.0,151.50
361,3030.0,151.50
362,3030.0,151.50
363,3030.0,151.50
364,3030.0,151.50
365,3030.0,151.50
366,3030.0,151.50
367,3030.0,151.50
368,3030.0,151.50
369,3030.0,151.50
370,3030.0,151.50
371,3030.0,151.50
372,3030.0,151.50
373,3030.0,151.50
374,3030.0,151.50
375,3030.0,151.50
376,3030.0,151.50
377,3030.0,151.50
378,3030.0,151.50
379,3030.0,151.50
380,3030.0,151.50
381,3030.0,151.50
382,3030.0,151.50
383,3030.0,151.50
384,3030.0,151.50
385,3030.0,151.50
386,3030.0,151.50
387,3030.0,151.50
388,3030.0,151.50
389,3030.0,151.50
390,3030.0,151.50
391,3030.0,151.50
392,3030.0,151.50
393,3030.0,151.50
394,3030.0,151.50
395,3030.0,151.50
396,3030.0,151.50
397,3030.0,151.50
398,3030.0,151.50
399,3030.0,151.50
400,3030.0,151.50
401,3030.0,151.50
402,3030.0,151.50
403,3030.0,151.50
404,3030.0,151.50
405,3030.0,151.50
406,3030.0,151.50
407,3030.0,151.50
408,3030.0,151.50
409,3030.0,151.50
410,3030.0,151.50
411,3030.0,151.50
412,3030.0,151.50
413,3030.0,151.50
414,3030.0,151.50
415,3030.0,151.50
416,3030.0,151.50
417,3030.0,151.50
418,3030.0,151.50
419,3030.0,151.50
420,3030.0,151.50
421,3030.0,151.50
422,3030.0,151.50
423,3030.0,151.50
424,3030.0,151.50
425,3030.0,151.50
426,3030.0,151.50
427,3030.0,151.50
428,3030.0,151.50
429,3030.0,151.50
430,3030.0,151.50
431,3030.0,151.50
432,3030.0,151.50
433,3030.0,151.50
434,3030.0,151.50
435,3030.0,151.50
436,3030.0,151.50
437,3030.0,151.50
438,3030.0,151.50
439,3030.0,151.50
440,3030.0,151.50
441,3030.0,151.50
442,3030.0,151.50
443,3030.0,151.50
444,3030.0,151.50
445,3030.0,151.50
446,3030.0,151.50
447,3030.0,151.50
448,3030.0,151.50
449,3030.0,151.50
450,3030.0,151.50
451,3030.0,151.50
452,3030.0,151.50
453,3030.0,151.50
454,3030.0,151.50
455,3030.0,151.50
456,3030.0,151.50
457,3030.0,151.50
458,3030.0,151.50
459,3030.0,151.50
460,3030.0,151.50
461,3030.0,151.50
462,3030.0,151.50
463,3030.0,151.50
464,3030.0,151.50
465,3030.0,151.50
466,3030.0,151.50
467,3030.0,151.50
468,3030.0,151.50
469,3030.0,151.50
470,3030.0,151.50
471,3030.0,151.50
472,3030.0,151.50
473,3030.0,151.50
474,3030.0,151.50
475,3030.0,151.50
476,3030.0,151.50
477,3030.0,151.50
478,3030.0,151.50
479,3030.0,151.50
480,3030.0,151.50
481,3030.0,151.50
482,3030.0,151.50
483,3030.0,151.50
484,3030.0,151.50
485,3030.0,151.50
486,3030.0,151.50
487,3030.0,151.50
488,3030.0,151.50
489,3030.0,151.50
490,3030.0,151.50
491,3030.0,151.50
492,3030.0,151.50
493,3030.0,151.50
494,3030.0,151.50
495,3030.0,151.50
496,3030.0,151.50
497,3030.0,151.50
498,3030.0,151.50
499,3030.0,151.50
500,3030.0,151.50
501,3030.0,151.50
502,3030.0,151.50
503,3030.0,151.50
504,3030.0,151.50
505,3030.0,151.50
506,3030.0,151.50
507,3030.0,151.50
508,3030.0,151.50
509,3030.0,151.50
510,3030.0,151.50
511,3030.0,151.50
512,3030.0,151.50
513,3030.0,151.50
514,3030.0,151.50
515,3030.0,151.50
516,3030.0,151.50
517,3030.0,151.50
518,3030.0,151.50
519,3030.0,151.50
520,3030.0,151.50
521,3030.0,151.50
522,3030.0,151.50
523,3030.0,151.50
524,3030.0,151.50
525,3030.0,151.50
526,3040.0,152.00
527,3030.0,151.50
528,3030.0,151.50
529,3030.0,151.50
530,3040.0,152.00
531,3030.0,151.50
532,3030.0,151.50
533,3030.0,151.50
534,3030.0,151.50
535,3030.0,151.50
536,3030.0,151.50
537,3030.0,151.50
538,3030.0,151.50
539,3030.0,151.50
540,3030.0,151.50
541,3030.0,151.50
542,3030.0,151.50
543,3030.0,151.50
544,3030.0,151.50
545,3030.0,151.50
546,3030.0,151.50
547,3030.0,151.50
548,3030.0,151.50
549,3030.0,151.50
550,3030.0,151.50
551,3030.0,151.50
552,3030.0,151.50
553,3030.0,151.50
554,3030.0,151.50
555,3030.0,151.50
556,3030.0,151.50
557,3030.0,151.50
558,3030.0,151.50
559,3030.0,151.50
560,3030.0,151.50
561,3030.0,151.50
562,3030.0,151.50
563,3030.0,151.50
564,3030.0,151.50
565,3030.0,151.50
566,3030.0,151.50
567,3030.0,151.50
568,3030.0,151.50
569,3030.0,151.50
570,3030.0,151.50
571,3030.0,151.50
572,3030.0,151.50
573,3030.0,151.50
574,3030.0,151.50
575,3030.0,151.50
576,3030.0,151.50
577,3030.0,151.50
578,3030.0,151.50
579,3030.0,151.50
580,3030.0,151.50
581,3030.0,151.50
582,3030.0,151.50
583,3030.0,151.50
584,3030.0,151.50
585,3030.0,151.50
586,3030.0,151.50
587,3030.0,151.50
588,3030.0,151.50
589,3030.0,151.50
590,3030.0,151.50
591,3030.0,151.50
592,3030.0,151.50
593,3030.0,151.50
594,3030.0,151.50
595,3030.0,151.50
596,3030.0,151.50
597,3030.0,151.50
598,3030.0,151.50
599,3030.0,151.50
600,3030.0,151.50
601,3030.0,151.50
602,3030.0,151.50
603,3030.0,151.50
604,3030.0,151.50
605,3030.0,151.50
606,3030.0,151.50
607,3030.0,151.50
608,3030.0,151.50
609,3030.0,151.50
610,3030.0,151.50
611,3030.0,151.50
612,3030.0,151.50
613,3030.0,151.50
614,3030.0,151.50
615,3030.0,151.50
616,3030.0,151.50
617,3030.0,151.50
618,3030.0,151.50
619,3030.0,151.50
620,3030.0,151.50
621,3030.0,151.50
622,3030.0,151.50
623,3030.0,151.50
624,3030.0,151.50
625,3030.0,151.50
626,3030.0,151.50
627,3030.0,151.50
628,3030.0,151.50
629,3030.0,151.50
630,3030.0,151.50
631,3030.0,151.50
632,3030.0,151.50
633,3030.0,151.50
634,3030.0,151.50
635,3030.0,151.50
636,3030.0,151.50
637,3030.0,151.50
638,3030.0,151.50
639,3030.0,151.50
640,3030.0,151.50
641,3030.0,151.50
642,3030.0,151.50
643,3030.0,151.50
644,3030.0,151.50
645,3030.0,151.50
646,3030.0,151.50
647,3030.0,151.50
648,3030.0,151.50
649,3030.0,151.50
650,3030.0,151.50
651,3030.0,151.50
652,3030.0,151.50
653,3030.0,151.50
654,3030.0,151.50
655,3030.0,151.50
656,3030.0,151.50
657,3030.0,151.50
658,3030.0,151.50
659,3030.0,151.50
660,3030.0,151.50
661,3030.0,151.50
662,3030.0,151.50
663,3030.0,151.50
664,3030.0,151.50
665,3030.0,151.50
666,3030.0,151.50
667,3030.0,151.50
668,3030.0,151.50
669,3030.0,151.50
670,3030.0,151.50
671,3030.0,151.50
672,3030.0,151.50
673,3030.0,151.50
674,3030.0,151.50
675,3030.0,151.50
676,3030.0,151.50
677,3030.0,151.50
678,3030.0,151.50
679,3030.0,151.50
680,3030.0,151.50
681,3030.0,151.50
682,3030.0,151.50
683,3030.0,151.50
684,3030.0,151.50
685,3030.0,151.50
686,3030.0,151.50
687,3030.0,151.50
688,3030.0,151.50
689,3030.0,151.50
690,3030.0,151.50
691,3030.0,151.50
692,3030.0,151.50
693,3030.0,151.50
694,3030.0,151.50
695,3030.0,151.50
696,3030.0,151.50
697,3030.0,151.50
698,3030.0,151.50
699,3030.0,151.50
700,3030.0,151.50
701,3030.0,151.50
702,3030.0,151.50
703,3030.0,151.50
704,3030.0,151.50
705,3030.0,151.50
706,3030.0,151.50
707,3030.0,151.50
708,3030.0,151.50
709,3030.0,151.50
710,3030.0,151.50
711,3030.0,151.50
712,3030.0,151.50
713,3030.0,151.50
714,3030.0,151.50
715,3030.0,151.50
716,3030.0,151.50
717,3030.0,151.50
718,3030.0,151.50
719,3030.0,151.50
720,3030.0,151.50
721,3030.0,151.50
722,3030.0,151.50
723,3030.0,151.50
724,3030.0,151.50
725,3030.0,151.50
726,3030.0,151.50
727,3030.0,151.50
728,3030.0,151.50
729,3030.0,151.50
730,3030.0,151.50
731,3030.0,151.50
732,3030.0,151.50
733,3030.0,151.50
734,3030.0,151.50
735,3030.0,151.50
736,3030.0,151.50
737,3030.0,151.50
738,3030.0,151.50
739,3030.0,151.50
740,3030.0,151.50
741,3030.0,151.50
742,3030.0,151.50
743,3030.0,151.50
744,3030.0,151.50
745,3030.0,151.50
746,3030.0,151.50
747,3030.0,151.50
748,3030.0,151.50
749,3030.0,151.50
750,3030.0,151.50
751,3030.0,151.50
752,3030.0,151.50
753,3030.0,151.50
754,3030.0,151.50
755,3030.0,151.50
756,3030.0,151.50
757,3030.0,151.50
758,3030.0,151.50
759,3030.0,151.50
760,3030.0,151.50
761,3030.0,151.50
762,3030.0,151.50
763,3030.0,151.50
764,3030.0,151.50
765,3030.0,151.50
766,3030.0,151.50
767,3030.0,151.50
768,3030.0,151.50
769,3030.0,151.50
770,3030.0,151.50
771,3030.0,151.50
772,3030.0,151.50
773,3030.0,151.50
774,3030.0,151.50
775,3030.0,151.50
776,3030.0,151.50
777,3030.0,151.50
778,3030.0,151.50
779,3030.0,151.50
780,3030.0,151.50
781,3030.0,151.50
782,3030.0,151.50
783,3030.0,151.50
784,3030.0,151.50
785,3030.0,151.50
786,3030.0,151.50
787,3030.0,151.50
788,3030.0,151.50
789,3030.0,151.50
790,3030.0,151.50
791,3030.0,151.50
792,3030.0,151.50
793,3030.0,151.50
794,3030.0,151.50
795,3030.0,151.50
796,3030.0,151.50
797,3030.0,151.50
798,3030.0,151.50
799,3030.0,151.50
800,3030.0,151.50
801,3030.0,151.50
802,3030.0,151.50
803,3030.0,151.50
804,3030.0,151.50
805,3030.0,151.50
806,3030.0,151.50
807,3030.0,151.50
808,3030.0,151.50
809,3030.0,151.50
810,3030.0,151.50
811,3030.0,151.50
812,3030.0,151.50
813,3030.0,151.50
814,3030.0,151.50
815,3030.0,151.50
816,3030.0,151.50
817,3030.0,151.50
818,3030.0,151.50
819,3030.0,151.50
820,3030.0,151.50
821,3030.0,151.50
822,3030.0,151.50
823,3030.0,151.50
824,3030.0,151.50
825,3030.0,151.50
826,3030.0,151.50
827,3030.0,151.50
828,3030.0,151.50
829,3030.0,151.50
830,3030.0,151.50
831,3030.0,151.50
832,3030.0,151.50
833,3030.0,151.50
834,3030.0,151.50
835,3030.0,151.50
836,3030.0,151.50
837,3030.0,151.50
838,3030.0,151.50
839,3030.0,151.50
840,3030.0,151.50
841,3030.0,151.50
842,3030.0,151.50
843,3030.0,151.50
844,3030.0,151.50
845,3030.0,151.50
846,3030.0,151.50
847,3030.0,151.50
848,3030.0,151.50
849,3030.0,151.50
850,3030.0,151.50
851,3030.0,151.50
852,3030.0,151.50
853,3030.0,151.50
854,3030.0,151.50
855,3030.0,151.50
856,3030.0,151.50
857,3030.0,151.50
858,3030.0,151.50
859,3030.0,151.50
860,3030.0,151.50
861,3030.0,151.50
862,3030.0,151.50
863,3030.0,151.50
864,3030.0,151.50
865,3030.0,151.50
866,3030.0,151.50
867,3030.0,151.50
868,3030.0,151.50
869,3030.0,151.50
870,3030.0,151.50
871,3030.0,151.50
872,3030.0,151.50
873,3030.0,151.50
874,3030.0,151.50
875,3030.0,151.50
876,3030.0,151.50
877,3030.0,151.50
878,3030.0,151.50
879,3030.0,151.50
880,3030.0,151.50
881,3030.0,151.50
882,3030.0,151.50
883,3030.0,151.50
884,3030.0,151.50
885,3030.0,151.50
886,3030.0,151.50
887,3030.0,151.50
888,3030.0,151.50
889,3030.0,151.50
890,3030.0,151.50
891,3030.0,151.50
892,3030.0,151.50
893,3030.0,151.50
894,3030.0,151.50
895,3030.0,151.50
896,3030.0,151.50
897,3030.0,151.50
898,3030.0,151.50
899,3030.0,151.50
900,3030.0,151.50
901,3030.0,151.50
902,3030.0,151.50
903,3030.0,151.50
904,3030.0,151.50
905,3030.0,151.50
906,3030.0,151.50
907,3030.0,151.50
908,3030.0,151.50
909,3030.0,151.50
910,3070.0,153.50
911,3030.0,151.50
912,3030.0,151.50
913,18840.0,942.00
914,3040.0,152.00
915,3030.0,151.50
916,3030.0,151.50
917,3030.0,151.50
918,3030.0,151.50
919,3030.0,151.50
920,3030.0,151.50
921,3030.0,151.50
922,3030.0,151.50
923,3030.0,151.50
924,3030.0,151.50
925,3030.0,151.50
926,3030.0,151.50
927,3030.0,151.50
928,3030.0,151.50
929,3030.0,151.50
930,3030.0,151.50
931,3030.0,151.50
932,3030.0,151.50
933,3030.0,151.50
934,3030.0,151.50
935,3030.0,151.50
936,3030.0,151.50
937,3030.0,151.50
938,3030.0,151.50
939,3030.0,151.50
940,3030.0,151.50
941,3030.0,151.50
942,3030.0,151.50
943,3030.0,151.50
944,3030.0,151.50
945,3030.0,151.50
946,3030.0,151.50
947,3030.0,151.50
948,3030.0,151.50
949,3030.0,151.50
950,3030.0,151.50
951,3030.0,151.50
952,3030.0,151.50
953,3030.0,151.50
954,3030.0,151.50
955,3030.0,151.50
956,3030.0,151.50
957,3030.0,151.50
958,3030.0,151.50
959,3030.0,151.50
960,3030.0,151.50
961,3030.0,151.50
962,3030.0,151.50
963,3030.0,151.50
964,3030.0,151.50
965,3030.0,151.50
966,3030.0,151.50
967,3030.0,151.50
968,3030.0,151.50
969,3030.0,151.50
970,3030.0,151.50
971,3030.0,151.50
972,3030.0,151.50
973,3030.0,151.50
974,3030.0,151.50
975,3030.0,151.50
976,3030.0,151.50
977,3030.0,151.50
978,3030.0,151.50
979,3030.0,151.50
980,3030.0,151.50
981,3030.0,151.50
982,3030.0,151.50
983,3030.0,151.50
984,3030.0,151.50
985,3030.0,151.50
986,3030.0,151.50
987,3030.0,151.50
988,3030.0,151.50
989,3030.0,151.50
990,3030.0,151.50
991,3030.0,151.50
992,3030.0,151.50
993,3030.0,151.50
994,3030.0,151.50
995,3030.0,151.50
996,3030.0,151.50
997,3030.0,151.50
998,3030.0,151.50
999,3030.0,151.50
1000,3030.0,151.50
